Estudiante.id,Estudiante.userName,Estudiante.PE,Estudiante.idCurso,Estudiante.prof,Estudiante.seccion,Estudiante.initDate,Estudiante.endDate,Estudiante.periodo
2063,436960680,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2064,437065483,GA,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2065,434042182,GA,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2066,429104386,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2067,428624284,TS,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2068,437821089,ID,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2069,438440983,IE,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2070,434120889,ID,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2071,432684086,GA,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2072,431816287,TS,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2073,434668383,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2074,433389482,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2075,429100883,GA,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2076,435767288,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2077,439442781,IE,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2078,428154684,GA,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2079,428662880,IE,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2080,428615483,GA,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2081,430031582,TA,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2082,436880682,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2083,437945086,GA,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2084,433919786,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2085,432965086,TS,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2086,428988982,GA,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2087,431136480,GA,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2088,428407188,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2089,430365485,IL,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2090,437236582,TS,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2091,435059683,TS,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2092,429108888,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2093,437648784,TS,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2094,430685988,GA,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2095,438957581,IL,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2096,433998485,IE,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2097,428178088,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2098,429457880,TS,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2099,438953885,ID,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2100,430903188,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2101,428549684,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2102,435317980,II,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2103,428598688,ID,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2104,438021881,TS,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2105,433916588,TS,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2106,431365180,GA,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2107,429346989,IL,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2108,437783583,GA,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2109,430478185,ID,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2110,429077981,IE,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2111,430306186,GA,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2112,428155888,GA,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2113,430584486,II,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2114,428992080,IE,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2115,429199286,TS,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2116,430441283,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2117,428654082,IE,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2118,433410781,IE,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2119,437902887,GA,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2120,435847786,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2121,429095983,IL,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2122,431297888,ID,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2123,431664981,II,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2124,434812482,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2125,430415988,ID,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2126,428828284,IA,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2127,428280089,GA,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2128,439277784,TS,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2129,432238488,GA,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2130,428160286,GA,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2131,437277789,TS,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2132,433746887,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2133,437574283,ID,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2134,438517882,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2135,429747381,GA,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2136,429256482,TS,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2137,428719480,II,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2138,438884180,IE,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2139,434699382,GA,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2140,437964886,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2141,437965684,TS,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2142,432531385,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2143,437357485,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2144,437971087,IE,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2145,429036489,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2146,429084889,ID,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2147,429296886,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2148,428404388,II,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2149,432884782,IA,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2150,428403686,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2151,435871485,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2152,436743184,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2153,437113285,ID,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2154,429066785,ID,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2155,435053887,IE,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2156,437947182,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2157,439467380,ID,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2158,429063488,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2159,430134383,ID,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2160,434580086,ID,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2161,436948582,IL,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2162,438506189,IE,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2163,429095281,IA,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2164,440689782,II,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2165,431609787,GA,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2166,436572584,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2167,428833088,ID,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2168,428413889,IA,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2169,435745985,IA,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2170,437993285,IA,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2171,429383083,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2172,439098683,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2173,428194787,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2174,430209985,GA,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2175,434142580,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2176,430408585,ID,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2177,432385786,IA,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2178,434950589,II,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2179,428585083,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2180,428641187,GA,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2181,438290189,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2182,428610587,IA,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2183,437992686,GA,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2184,428578985,IL,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2185,429747188,IE,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2186,430312680,IA,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2187,430353882,TS,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2188,436895480,ID,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2189,428538981,GA,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2190,429438684,IE,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2191,438122385,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2192,430923689,II,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2193,430364982,IE,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2194,438540485,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2195,429462185,NI,3,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2196,438987882,IA,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2197,434031984,II,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
2198,428459484,ID,1,<NULL>,<NULL>,2019-08-02 13:23:25,<NULL>,ver2018
